event layer r x y z hbarcode barcode charge pt d0
0 0 290.825 274.737 95.3893 -67.9015 1305 10001 -1 10000 -0.0133555
0 0 290.881 274.715 95.6216 -42.1932 305 10001 -1 10000 -0.0133555
0 0 287.31 276.261 78.9097 -11.9755 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.847 275.124 91.2026 -6.34368 9223372036854775807 10001 -1 10000 -0.0133555
0 0 290.07 275.034 92.178 -4.4255 838 10001 -1 10000 -0.0133555
0 0 292.772 274.025 103.081 -11.1755 201031 10001 -1 10000 -0.0133555
0 0 293.355 273.825 105.247 -7.7755 736 10001 -1 10000 -0.0133555
0 0 287.168 276.333 78.138 25.1005 915 10001 -1 10000 -0.0133555
0 0 287.519 276.159 80.0216 14.9922 154 10001 -1 10000 -0.0133555
0 0 290.546 274.845 94.2193 31.1255 501 10001 -1 10000 -0.0133555
0 0 291.354 274.536 97.555 32.4255 1116 10001 -1 10000 -0.0133555
0 0 287.873 275.988 81.8637 57.9932 957 10001 -1 10000 -0.0133555
0 0 291.993 274.302 100.094 54.4765 10006 10001 -1 10000 -0.0133555
0 0 290.306 274.939 93.1986 90.9525 738 10001 -1 10000 -0.0133555
0 0 291.885 274.341 99.671 87.1025 200247 10001 -1 10000 -0.0133555
0 0 291.233 274.582 97.0655 165.262 961 10001 -1 10000 -0.0133555
0 0 291.728 274.398 99.0487 145.178 600 10001 -1 10000 -0.0133555
0 0 292.448 274.139 101.849 135.666 1200 10001 -1 10000 -0.0133555
0 0 294.622 273.406 109.778 135.754 249 10001 -1 10000 -0.0133555
0 0 296.254 272.894 115.304 148.829 9223372036854775807 10001 -1 10000 -0.0133555
0 0 295.774 273.042 113.711 172.704 1136 10001 -1 10000 -0.0133555
0 0 295.903 273.002 114.143 195.013 684 10001 -1 10000 -0.0133555
0 0 295.908 273.0 114.159 194.979 684 10001 -1 10000 -0.0133555
0 0 289.491 275.271 89.614 247.68 1385 10001 -1 10000 -0.0133555
0 0 291.621 274.437 98.6255 238.281 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.749 273.692 106.683 247.972 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.754 273.69 106.701 247.941 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.876 273.65 107.139 224.506 1301 10001 -1 10000 -0.0133555
0 0 287.577 265.4 110.74 -118.728 161 10001 -1 10000 -0.0133555
0 0 288.159 264.793 113.666 -119.277 9223372036854775807 10001 -1 10000 -0.0133555
0 0 288.9 264.062 117.195 -109.211 830 10001 -1 10000 -0.0133555
0 0 289.254 263.727 118.81 -101.894 995 10001 -1 10000 -0.0133555
0 0 289.59 263.415 120.312 -109.503 1314 10001 -1 10000 -0.0133555
0 0 290.429 262.669 123.91 -87.2775 200555 10001 -1 10000 -0.0133555
0 0 290.801 262.349 125.452 -91.0275 442 10001 -1 10000 -0.0133555
0 0 287.846 265.116 112.111 -82.8765 200047 10001 -1 10000 -0.0133555
0 0 290.083 262.972 122.45 -76.0932 649 10001 -1 10000 -0.0133555
0 0 290.133 262.928 122.662 -70.1515 2330 10001 -1 10000 -0.0133555
0 0 293.539 260.182 135.905 -44.3765 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.545 260.177 135.93 -44.5265 9223372036854775807 10001 -1 10000 -0.0133555
0 0 288.526 264.425 115.44 -39.6255 218 10001 -1 10000 -0.0133555
0 0 289.579 263.425 120.263 -8.9755 547 10001 -1 10000 -0.0133555
0 0 290.116 262.943 122.588 -18.3755 74 10001 -1 10000 -0.0133555
0 0 291.988 261.374 130.156 -7.29633 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.024 263.943 117.766 -1.1245 10046 10001 -1 10000 -0.0133555
0 0 291.59 261.695 128.61 24.0755 658 10001 -1 10000 -0.0133555
0 0 293.403 260.283 135.418 11.2977 9223372036854775807 10001 -1 10000 -0.0133555
